coordinates,created_at,followers,friends,geolocation,original_text,text,tweet_type,user_id,user_location,user_name,user_screen_name,verified,lang
,2015-09-04 23:38:01+00:00,7262,7847,,"Refugee crisis will be focus when parliament resumes, says SNP http://t.co/VuwUz0UXmc","RT @STVNews: Refugee crisis will be focus when parliament resumes, says SNP http://t.co/VuwUz0UXmc",share,1002174228,Republic of Perthshire,ScotsVsAusterity ,ScotIndyDebate,FALSE,en
,2015-09-03 21:28:13+00:00,7242,7843,,Refugee crisis: here's our list of stuff you can do in Scotland to help refugees. http://t.co/XrLSP8OAlf http://t.co/Q9AmUQ8pjr,RT @ThirdForceNews: Refugee crisis: here's our list of stuff you can do in Scotland to help refugees. http://t.co/XrLSP8OAlf http://t.co/Q9…,share,1002174228,Republic of Perthshire,ScotsVsAusterity ,ScotIndyDebate,FALSE,en
,2015-09-03 21:34:12+00:00,7242,7843,,"German newspaper Bild describes Cameron as one of the ""slackers of Europe"" over his response to the migrant crisis. http://t.co/Ac5qNVLe8r","RT @UK__News: German newspaper Bild describes Cameron as one of the ""slackers of Europe"" over his response to the migrant crisis. http://t.…",share,1002174228,Republic of Perthshire,ScotsVsAusterity ,ScotIndyDebate,FALSE,en
,2015-09-04 00:36:47+00:00,7251,7848,,Cameron can solve the refugee 'problem' easily - here's how http://t.co/jknsD162kd,RT @WingsScotland: Cameron can solve the refugee 'problem' easily - here's how http://t.co/jknsD162kd,share,1002174228,Republic of Perthshire,ScotsVsAusterity ,ScotIndyDebate,FALSE,en
,2015-09-03 01:23:49+00:00,7236,7839,,Petition: Accept more asylum seekers and increase support for refugee migrants in the UK. https://t.co/kxRwfbDjSx,RT @WingsScotland: Petition: Accept more asylum seekers and increase support for refugee migrants in the UK. https://t.co/kxRwfbDjSx,share,1002174228,Republic of Perthshire,ScotsVsAusterity ,ScotIndyDebate,FALSE,en
,2015-09-03 21:28:26+00:00,7242,7843,,Article from our pal Stephen about the various grassroots campaigns springing up.  https://t.co/XHZptpjmfb,RT @WomenForIndy: Article from our pal Stephen about the various grassroots campaigns springing up.  https://t.co/XHZptpjmfb,share,1002174228,Republic of Perthshire,ScotsVsAusterity ,ScotIndyDebate,FALSE,en
,2015-09-03 21:16:49+00:00,7241,7843,,Positive Action in Housing Facebook page on refugee crisis.  https://t.co/TsGpcsVP3k,RT @WomenForIndy: Positive Action in Housing Facebook page on refugee crisis.  https://t.co/TsGpcsVP3k,share,1002174228,Republic of Perthshire,ScotsVsAusterity ,ScotIndyDebate,FALSE,en
,2015-09-05 00:31:44+00:00,7262,7847,,,THE GUARDIAN FRONT PAGE: 'Cameron: we won't join in EU refugee rescue plan' http://t.co/5PbhZBqcnd,post,1002174228,Republic of Perthshire,ScotsVsAusterity ,ScotIndyDebate,FALSE,en
,2015-09-03 23:35:16+00:00,7248,7845,,,These four charts show the astonishing scale of Europe's migrant crisis. http://t.co/Nvo5RbE3ht,post,1002174228,Republic of Perthshire,ScotsVsAusterity ,ScotIndyDebate,FALSE,en
,2015-09-03 23:15:09+00:00,7247,7845,,,"Watch: Nicola Sturgeon attacks David Cameron for ""utterly shameful"" refugee policy http://t.co/Q4ZHh57lFq …",post,1002174228,Republic of Perthshire,ScotsVsAusterity ,ScotIndyDebate,FALSE,en
,2015-09-04 11:22:06+00:00,1003,1827,,"Refugee crisis: UN says Britain will take 4,000 more Syrians. Live updates http://t.co/IsLFDUHkuQ","RT @guardiannews: Refugee crisis: UN says Britain will take 4,000 more Syrians. Live updates http://t.co/IsLFDUHkuQ",share,100021783,A la Poniente de este mundo...,Sebastián Salazar,sebsalazar,FALSE,en
